lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
30.,Walther,Michael,TS Lichtenfels,28,263,Bezirksliga,2003,Oberfranken
31.,Froese,Ingo,BBC Bayreuth,25,263,Bezirksliga,2003,Oberfranken
32.,Dippold,Armin,TSV Breitengüßbach,23,263,Bezirksliga,2003,Oberfranken
33.,Eckert,Reinhold,TSV Breitengüßbach,20,263,Bezirksliga,2003,Oberfranken
34.,Gärtner,Dr. Jürgen,TS Lichtenfels,17,263,Bezirksliga,2003,Oberfranken
35.,Griebel,Ernst,TSV Breitengüßbach,15,263,Bezirksliga,2003,Oberfranken
36.,Hirmke,Joachim,1. FC Baunach,15,263,Bezirksliga,2003,Oberfranken
37.,Burmann,Ludger,TS Lichtenfels,14,263,Bezirksliga,2003,Oberfranken
38.,Schell,Dr. Veit,TSV Breitengüßbach,13,263,Bezirksliga,2003,Oberfranken
39.,Kämpf,Wolfram,BBC Bayreuth,12,263,Bezirksliga,2003,Oberfranken
40.,Babler,Beate,BBC Bayreuth,11,263,Bezirksliga,2003,Oberfranken
41.,Aas,Gregor,BBC Bayreuth,10,263,Bezirksliga,2003,Oberfranken
42.,Pehle,Detlev,1. FC Baunach,10,263,Bezirksliga,2003,Oberfranken
43.,Gutgesell,Günther,TS Lichtenfels,10,263,Bezirksliga,2003,Oberfranken
44.,Ruß,Michael,1. FC Baunach,9,263,Bezirksliga,2003,Oberfranken
45.,Wagner,Jürgen,TSV Breitengüßbach,5,263,Bezirksliga,2003,Oberfranken
46.,Brändlein,Peter,1. FC Baunach,4,263,Bezirksliga,2003,Oberfranken
47.,Vogel,Michael,BBC Bayreuth,2,263,Bezirksliga,2003,Oberfranken
48.,Vogel,Jürgen,BBC Bayreuth,2,263,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Senioren III (Ü40 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senioren III (Ü40 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senioren III (Ü40 Oberfranken),Team Statistiken,Beste Werfer/innen,263,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,263,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,263,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,263,Bezirksliga,2003,Oberfranken
1.,Thurn,Michael,1.FC Baunach,132,261,Bezirksliga,2003,Oberfranken
2.,Scharting,Christian,TSV Hirschaid,117,261,Bezirksliga,2003,Oberfranken
3.,Adler,Rudolf,BBC Bayreuth,113,261,Bezirksliga,2003,Oberfranken
4.,Weiß,Konrad,1.FC Baunach,101,261,Bezirksliga,2003,Oberfranken
5.,Kerner,Martin,BBC Bayreuth,95,261,Bezirksliga,2003,Oberfranken
6.,Schabacker,Rainer,TSV Breitengüßbach,90,261,Bezirksliga,2003,Oberfranken
7.,Gradl,Christoph,1.FC Baunach,88,261,Bezirksliga,2003,Oberfranken
8.,Neubauer,Stefan,TSV Breitengüßbach,79,261,Bezirksliga,2003,Oberfranken
9.,Kühhorn,Ingmar,1.FC Baunach,72,261,Bezirksliga,2003,Oberfranken
10.,Schmidt,Joachim,BBC Bayreuth,69,261,Bezirksliga,2003,Oberfranken
11.,Fuchs,Jürgen,1.FC Baunach,69,261,Bezirksliga,2003,Oberfranken
12.,Kober,Hans-Jürgen,1.FC Baunach,67,261,Bezirksliga,2003,Oberfranken
13.,Vogel,Michael,BBC Bayreuth,65,261,Bezirksliga,2003,Oberfranken
14.,Lohneis,Rüdiger,TSV Breitengüßbach,58,261,Bezirksliga,2003,Oberfranken
15.,Geheeb,Rainer,TSV Hirschaid,58,261,Bezirksliga,2003,Oberfranken
16.,Tadda,Walter,TSV Breitengüßbach,53,261,Bezirksliga,2003,Oberfranken
17.,Dorsch,Helmut,TSV Breitengüßbach,52,261,Bezirksliga,2003,Oberfranken
18.,Wander,Volkmar,BBC Bayreuth,52,261,Bezirksliga,2003,Oberfranken
19.,Vogel,Dirk,BBC Bayreuth,51,261,Bezirksliga,2003,Oberfranken
20.,Petrick,Robert,TSV Hirschaid,50,261,Bezirksliga,2003,Oberfranken
21.,Picht,Herwig,TSV Breitengüßbach,39,261,Bezirksliga,2003,Oberfranken
22.,Reinfelder,Christian,1.FC Baunach,34,261,Bezirksliga,2003,Oberfranken
23.,Uch,Hans-Jürgen,TSV Breitengüßbach,31,261,Bezirksliga,2003,Oberfranken
24.,Goppert,Wolfgang,TSV Breitengüßbach,30,261,Bezirksliga,2003,Oberfranken
25.,Cummings,Keith,TSV Hirschaid,28,261,Bezirksliga,2003,Oberfranken
26.,Renner,Gerhard,BBC Bayreuth,28,261,Bezirksliga,2003,Oberfranken
27.,Korn,Wilfried,TSV Breitengüßbach,27,261,Bezirksliga,2003,Oberfranken
28.,Kramer,Konrad,TSV Hirschaid,23,261,Bezirksliga,2003,Oberfranken
29.,Göhring,Eduard,BBC Bayreuth,22,261,Bezirksliga,2003,Oberfranken
30.,Knörl,Hermann,TSV Hirschaid,22,261,Bezirksliga,2003,Oberfranken
31.,Schabacker,Ulf,TSV Breitengüßbach,19,261,Bezirksliga,2003,Oberfranken
32.,Froese,Ingo,BBC Bayreuth,18,261,Bezirksliga,2003,Oberfranken
33.,Kern,Dr. Günter,1.FC Baunach,18,261,Bezirksliga,2003,Oberfranken
34.,Arnold,Bernhard,TSV Hirschaid,15,261,Bezirksliga,2003,Oberfranken
35.,Straub,Armin,TSV Hirschaid,13,261,Bezirksliga,2003,Oberfranken
36.,Trunk,Robert,TSV Breitengüßbach,13,261,Bezirksliga,2003,Oberfranken
37.,Henzler,Jens,TSV Breitengüßbach,11,261,Bezirksliga,2003,Oberfranken
38.,Keppner,Volker,TSV Breitengüßbach,8,261,Bezirksliga,2003,Oberfranken
39.,Grube,Achim,TSV Hirschaid,7,261,Bezirksliga,2003,Oberfranken
40.,Heberlein,Ralf,TSV Breitengüßbach,6,261,Bezirksliga,2003,Oberfranken
41.,Lohmann,Stefan,BBC Bayreuth,6,261,Bezirksliga,2003,Oberfranken
42.,Sauer,Winfried,TSV Hirschaid,6,261,Bezirksliga,2003,Oberfranken
43.,Wagner,Hans-Günther,TSV Breitengüßbach,5,261,Bezirksliga,2003,Oberfranken
44.,Wagner,Jürgen,TSV Breitengüßbach,4,261,Bezirksliga,2003,Oberfranken
45.,Meserth,Henry,BBC Bayreuth,3,261,Bezirksliga,2003,Oberfranken
46.,Giannulopulos,Christos,TSV Hirschaid,2,261,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken),Team Statistiken,Beste Werfer/innen,261,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,261,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,261,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,261,Bezirksliga,2003,Oberfranken
1.,Reuß,Carmen,SC Kemmern,48,262,Bezirksliga,2003,Oberfranken
2.,Maron,Birgit,BBC Bayreuth,47,262,Bezirksliga,2003,Oberfranken
3.,Rosiwal,Silvia,DJK Bamberg,45,262,Bezirksliga,2003,Oberfranken
4.,Ilmberger,Angelika,DJK Bamberg,36,262,Bezirksliga,2003,Oberfranken
5.,Zink,Birgit,SC Kemmern,30,262,Bezirksliga,2003,Oberfranken
6.,Frank,Susanne,BBC Bayreuth,28,262,Bezirksliga,2003,Oberfranken
7.,Förner,Martina,SC Kemmern,28,262,Bezirksliga,2003,Oberfranken
8.,Pautz,Urte,DJK Bamberg,23,262,Bezirksliga,2003,Oberfranken
9.,Albrecht,Claudia,SC Kemmern,22,262,Bezirksliga,2003,Oberfranken
10.,Kirsch,Stephanie,BBC Bayreuth,20,262,Bezirksliga,2003,Oberfranken
11.,Öhlein,Birgit,DJK Bamberg,20,262,Bezirksliga,2003,Oberfranken
12.,Schreiner,Petra,DJK Bamberg,20,262,Bezirksliga,2003,Oberfranken
13.,Meixner,Jutta,BBC Bayreuth,18,262,Bezirksliga,2003,Oberfranken
14.,Zink,Jutta,SC Kemmern,14,262,Bezirksliga,2003,Oberfranken
15.,Mayer,Brigitte,SC Kemmern,12,262,Bezirksliga,2003,Oberfranken
16.,Uch,Andrea,SC Kemmern,12,262,Bezirksliga,2003,Oberfranken
17.,Weig,Susanne,SC Kemmern,10,262,Bezirksliga,2003,Oberfranken
18.,Kröner,Birgit,DJK Bamberg,8,262,Bezirksliga,2003,Oberfranken
19.,Ullein,Sabine,DJK Bamberg,8,262,Bezirksliga,2003,Oberfranken
20.,Uch,Christine,SC Kemmern,6,262,Bezirksliga,2003,Oberfranken
21.,Weiss,Jutta,DJK Bamberg,2,262,Bezirksliga,2003,Oberfranken
22.,Babler,Beate,BBC Bayreuth,2,262,Bezirksliga,2003,Oberfranken
23.,Kawan,Christine,BBC Bayreuth,2,262,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken),Team Statistiken,Beste Werfer/innen,262,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,262,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,262,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,262,Bezirksliga,2003,Oberfranken
1.,Eidelloth,David,VfL Jahn Bamberg,428,245,Bezirksliga,2003,Oberfranken
2.,Lange,Michael,1.FC 01 Bamberg,407,245,Bezirksliga,2003,Oberfranken
3.,Lohneis,Rüdiger,TSV Breitengüßbach 4,403,245,Bezirksliga,2003,Oberfranken
4.,Wich,Alexander,ATS Kulmbach,388,245,Bezirksliga,2003,Oberfranken
5.,Kapp,Jürgen,VfL Jahn Bamberg,340,245,Bezirksliga,2003,Oberfranken
6.,Mobery,Thomas,BG Litzendorf,334,245,Bezirksliga,2003,Oberfranken
7.,Budig,Christoph,SpVgg Rattelsdorf 2,322,245,Bezirksliga,2003,Oberfranken
8.,Goppert,Wolfgang,TSV Breitengüßbach 4,321,245,Bezirksliga,2003,Oberfranken
9.,Wiesner,Holger,ATS Kulmbach,313,245,Bezirksliga,2003,Oberfranken
10.,Jakob,Martin,TTL Bamberg,298,245,Bezirksliga,2003,Oberfranken
11.,Waaden von,Gary Anthony,BBC Coburg,296,245,Bezirksliga,2003,Oberfranken
12.,Smith,Philipp,1. FC Baunach 2,296,245,Bezirksliga,2003,Oberfranken
13.,Hummel,Benedikt,VfL Jahn Bamberg,290,245,Bezirksliga,2003,Oberfranken
14.,Tritschel,Stephan,BSC Saas Bayreuth,280,245,Bezirksliga,2003,Oberfranken
15.,Hofmann,Philipp,TTL Bamberg,279,245,Bezirksliga,2003,Oberfranken
16.,Linsner,Benjamin,TTL Bamberg,269,245,Bezirksliga,2003,Oberfranken
17.,Fricke,Bernd,TTL Bamberg,265,245,Bezirksliga,2003,Oberfranken
18.,Neumann,Michael,BG Litzendorf,255,245,Bezirksliga,2003,Oberfranken
19.,Obrovski,Igor,BBC Coburg,254,245,Bezirksliga,2003,Oberfranken
20.,Lehner,Christoph,1.FC 01 Bamberg,248,245,Bezirksliga,2003,Oberfranken
21.,Gulden,Matthias,1.FC 01 Bamberg,247,245,Bezirksliga,2003,Oberfranken
22.,Aas,Mario,SpVgg Rattelsdorf 2,232,245,Bezirksliga,2003,Oberfranken
23.,Griebel,Ernst,TSV Breitengüßbach 4,231,245,Bezirksliga,2003,Oberfranken
24.,Merklinger,Marco,SpVgg Rattelsdorf 2,222,245,Bezirksliga,2003,Oberfranken
25.,Schlaug,Alfons,BG Litzendorf,222,245,Bezirksliga,2003,Oberfranken
26.,Glaser,Uwe,BSC Saas Bayreuth,214,245,Bezirksliga,2003,Oberfranken
27.,Smith,Darryl Stephen,1. FC Baunach 2,210,245,Bezirksliga,2003,Oberfranken
28.,Höhn,Alexander,ATS Kulmbach,200,245,Bezirksliga,2003,Oberfranken
29.,Becher,Manuel,BSC Saas Bayreuth,199,245,Bezirksliga,2003,Oberfranken
30.,Gatz,Sebastian,TTL Bamberg,192,245,Bezirksliga,2003,Oberfranken
31.,Rüger,Heiko,ATS Kulmbach,190,245,Bezirksliga,2003,Oberfranken
32.,Bretag,Rainer,1.FC 01 Bamberg,168,245,Bezirksliga,2003,Oberfranken
33.,Uch,Hans-Jürgen,TSV Breitengüßbach 4,163,245,Bezirksliga,2003,Oberfranken
34.,Güttler,Andreas,BSC Saas Bayreuth,162,245,Bezirksliga,2003,Oberfranken
35.,Schmidt,Martin,BSC Saas Bayreuth,162,245,Bezirksliga,2003,Oberfranken
36.,Seidenschnur,Ingmar,BBC Coburg,159,245,Bezirksliga,2003,Oberfranken
37.,Pelikan,Nils,1. FC Baunach 2,157,245,Bezirksliga,2003,Oberfranken
38.,Laberer,Markus,1. FC Baunach 2,151,245,Bezirksliga,2003,Oberfranken
39.,Feulner,André,SpVgg Rattelsdorf 2,148,245,Bezirksliga,2003,Oberfranken
40.,Heichel,Dominik,BG Litzendorf,139,245,Bezirksliga,2003,Oberfranken
41.,Berger,Markus,BSC Saas Bayreuth,138,245,Bezirksliga,2003,Oberfranken
42.,Terry,Steven,1. FC Baunach 2,137,245,Bezirksliga,2003,Oberfranken
43.,Korn,Wilfried,TSV Breitengüßbach 4,133,245,Bezirksliga,2003,Oberfranken
44.,Bötsch,Benedikt,1.FC 01 Bamberg,127,245,Bezirksliga,2003,Oberfranken
45.,Hofer,Jan Matthias,BBC Coburg,126,245,Bezirksliga,2003,Oberfranken
46.,Aas,Benjamin,SpVgg Rattelsdorf 2,126,245,Bezirksliga,2003,Oberfranken
47.,Fazlija,Lulzim,1. FC Baunach 2,125,245,Bezirksliga,2003,Oberfranken
48.,Herbst,Christian,BG Litzendorf,122,245,Bezirksliga,2003,Oberfranken
49.,Geiger,Florian,BBC Coburg,122,245,Bezirksliga,2003,Oberfranken
50.,Feulner,Marco,SpVgg Rattelsdorf 2,120,245,Bezirksliga,2003,Oberfranken
51.,Fröbel,Sebastian,BBC Coburg,116,245,Bezirksliga,2003,Oberfranken
52.,Weber,Florian,TTL Bamberg,112,245,Bezirksliga,2003,Oberfranken
53.,Khodadadi,Dawud,BBC Coburg,111,245,Bezirksliga,2003,Oberfranken
54.,Tadda,Walter,TSV Breitengüßbach 4,109,245,Bezirksliga,2003,Oberfranken
55.,Gunes,Ibrahim,BBC Coburg,106,245,Bezirksliga,2003,Oberfranken
56.,Lauterbach,Marc,VfL Jahn Bamberg,105,245,Bezirksliga,2003,Oberfranken
57.,Jungbauer,Christoph,ATS Kulmbach,103,245,Bezirksliga,2003,Oberfranken
58.,Böhm,Michael,BBC Coburg,98,245,Bezirksliga,2003,Oberfranken
59.,Hansl,Matthias,ATS Kulmbach,93,245,Bezirksliga,2003,Oberfranken
60.,Müller,Markus,VfL Jahn Bamberg,92,245,Bezirksliga,2003,Oberfranken
61.,Montag,Marc,SpVgg Rattelsdorf 2,88,245,Bezirksliga,2003,Oberfranken
62.,Wolf,Stephan,BG Litzendorf,86,245,Bezirksliga,2003,Oberfranken
63.,Wittmann,Andreas,BG Litzendorf,85,245,Bezirksliga,2003,Oberfranken
64.,Basler,Rainer,BSC Saas Bayreuth,84,245,Bezirksliga,2003,Oberfranken
65.,Brown,David,ATS Kulmbach,81,245,Bezirksliga,2003,Oberfranken
66.,Richter,Robert,VfL Jahn Bamberg,80,245,Bezirksliga,2003,Oberfranken
67.,Schneider,Torsten,ATS Kulmbach,80,245,Bezirksliga,2003,Oberfranken
68.,Schabacker,Ulf,TSV Breitengüßbach 4,79,245,Bezirksliga,2003,Oberfranken
69.,Sieben,Sebastian,TTL Bamberg,79,245,Bezirksliga,2003,Oberfranken
70.,Kulla,Johannes,1.FC 01 Bamberg,77,245,Bezirksliga,2003,Oberfranken
71.,Wagner,Burkhard,BBC Coburg,76,245,Bezirksliga,2003,Oberfranken
72.,Böhner,Uwe,BSC Saas Bayreuth,76,245,Bezirksliga,2003,Oberfranken
73.,Rothaug,Thomas,VfL Jahn Bamberg,75,245,Bezirksliga,2003,Oberfranken
74.,Jacob,Nils,BBC Coburg,65,245,Bezirksliga,2003,Oberfranken
75.,Henzler,Jens,TSV Breitengüßbach 4,61,245,Bezirksliga,2003,Oberfranken
76.,Lauer,Wolfgang,1.FC 01 Bamberg,60,245,Bezirksliga,2003,Oberfranken
77.,Göller,Klaus,VfL Jahn Bamberg,60,245,Bezirksliga,2003,Oberfranken
78.,Flierl,Kilian,TTL Bamberg,60,245,Bezirksliga,2003,Oberfranken
79.,Kaiser,Stefan,1.FC 01 Bamberg,58,245,Bezirksliga,2003,Oberfranken
80.,Uzelino,Florian,BG Litzendorf,57,245,Bezirksliga,2003,Oberfranken
81.,Reuß,Marc,1.FC 01 Bamberg,56,245,Bezirksliga,2003,Oberfranken
82.,Scholz,Dominik,TTL Bamberg,55,245,Bezirksliga,2003,Oberfranken
83.,Reinhold,Ingo,ATS Kulmbach,54,245,Bezirksliga,2003,Oberfranken
84.,Lips,Christoph,SpVgg Rattelsdorf 2,53,245,Bezirksliga,2003,Oberfranken
85.,Dippold,Armin,TSV Breitengüßbach 4,50,245,Bezirksliga,2003,Oberfranken
86.,Neumann,Matthias,BSC Saas Bayreuth,49,245,Bezirksliga,2003,Oberfranken
87.,Dittrich,René,1. FC Baunach 2,48,245,Bezirksliga,2003,Oberfranken
88.,Morris,Patrick,1. FC Baunach 2,47,245,Bezirksliga,2003,Oberfranken
89.,Dormann,Markus,1.FC 01 Bamberg,47,245,Bezirksliga,2003,Oberfranken
90.,Pfister,Heiko,TTL Bamberg,46,245,Bezirksliga,2003,Oberfranken
91.,Aas,Manuel,SpVgg Rattelsdorf 2,40,245,Bezirksliga,2003,Oberfranken
92.,Hauptmann,Andreas,1.FC 01 Bamberg,39,245,Bezirksliga,2003,Oberfranken
93.,Bauer,Rainer,BSC Saas Bayreuth,37,245,Bezirksliga,2003,Oberfranken
94.,Thurn,Michael,1. FC Baunach 2,36,245,Bezirksliga,2003,Oberfranken
95.,Stolpowski,Oleg,1. FC Baunach 2,36,245,Bezirksliga,2003,Oberfranken
96.,Imhof,Dominik,SpVgg Rattelsdorf 2,35,245,Bezirksliga,2003,Oberfranken
97.,Spindler,Sebastian,BG Litzendorf,35,245,Bezirksliga,2003,Oberfranken
98.,Fazlija,Fetim,1. FC Baunach 2,34,245,Bezirksliga,2003,Oberfranken
99.,Balduf,Stefan,ATS Kulmbach,33,245,Bezirksliga,2003,Oberfranken
100.,Pautz,Andreas,TSV Breitengüßbach 4,31,245,Bezirksliga,2003,Oberfranken
101.,Hopf,Rüdiger,TSV Breitengüßbach 4,31,245,Bezirksliga,2003,Oberfranken
102.,Korb,Christian,1.FC 01 Bamberg,30,245,Bezirksliga,2003,Oberfranken
103.,Franck,Sven,BSC Saas Bayreuth,29,245,Bezirksliga,2003,Oberfranken
104.,Röder,Matthias,BG Litzendorf,25,245,Bezirksliga,2003,Oberfranken
105.,Schneiderbanger,Michael,SpVgg Rattelsdorf 2,24,245,Bezirksliga,2003,Oberfranken
106.,Jahn,Thomas,BSC Saas Bayreuth,23,245,Bezirksliga,2003,Oberfranken
107.,Jordan,Johannes,BBC Coburg,22,245,Bezirksliga,2003,Oberfranken
108.,Studener,David,SpVgg Rattelsdorf 2,20,245,Bezirksliga,2003,Oberfranken
109.,Wagner,Dominik,SpVgg Rattelsdorf 2,20,245,Bezirksliga,2003,Oberfranken
110.,Neubauer,Stefan,TSV Breitengüßbach 4,19,245,Bezirksliga,2003,Oberfranken
111.,Jones,Steve,1. FC Baunach 2,18,245,Bezirksliga,2003,Oberfranken
112.,Semertzidis,Eleftherios,BSC Saas Bayreuth,14,245,Bezirksliga,2003,Oberfranken
113.,Weber,Benedikt,1. FC Baunach 2,13,245,Bezirksliga,2003,Oberfranken
114.,Haubner,Philipp,SpVgg Rattelsdorf 2,13,245,Bezirksliga,2003,Oberfranken
115.,Kräußlich,Leon,BBC Coburg,13,245,Bezirksliga,2003,Oberfranken
116.,Ulshöfer,Jens,TSV Breitengüßbach 4,12,245,Bezirksliga,2003,Oberfranken
117.,Hofmann,Tobias,TSV Breitengüßbach 4,12,245,Bezirksliga,2003,Oberfranken
118.,Marschalt,Jens,SpVgg Rattelsdorf 2,12,245,Bezirksliga,2003,Oberfranken
119.,Desch,Heiner,1.FC 01 Bamberg,10,245,Bezirksliga,2003,Oberfranken
120.,Moritz,Simon,ATS Kulmbach,10,245,Bezirksliga,2003,Oberfranken
121.,Herzing,Thorsten,BSC Saas Bayreuth,9,245,Bezirksliga,2003,Oberfranken
122.,Stolte,Alexander,BSC Saas Bayreuth,8,245,Bezirksliga,2003,Oberfranken
123.,Nowak,Dominik,TTL Bamberg,6,245,Bezirksliga,2003,Oberfranken
124.,Strecker,Martin,BG Litzendorf,6,245,Bezirksliga,2003,Oberfranken
125.,Geigerhilk,Jochen,TTL Bamberg,6,245,Bezirksliga,2003,Oberfranken
126.,Meixner,Claus,1. FC Baunach 2,5,245,Bezirksliga,2003,Oberfranken
127.,Dütsch,Thomas,SpVgg Rattelsdorf 2,5,245,Bezirksliga,2003,Oberfranken
128.,Kalb,Benjamin,VfL Jahn Bamberg,5,245,Bezirksliga,2003,Oberfranken
129.,Riedhammer,Markus,1.FC 01 Bamberg,4,245,Bezirksliga,2003,Oberfranken
130.,Reich,Marco,BG Litzendorf,4,245,Bezirksliga,2003,Oberfranken
131.,Dobbener,Nils,BG Litzendorf,3,245,Bezirksliga,2003,Oberfranken
132.,Jung,Adrian,TTL Bamberg,3,245,Bezirksliga,2003,Oberfranken
133.,Harrison,George,BSC Saas Bayreuth,3,245,Bezirksliga,2003,Oberfranken
134.,Heink,Rüdiger,BSC Saas Bayreuth,2,245,Bezirksliga,2003,Oberfranken
135.,Lunz,Markus,TSV Breitengüßbach 4,2,245,Bezirksliga,2003,Oberfranken
136.,Koch,Hagen,1. FC Baunach 2,2,245,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Bezirksliga Herren (Senioren Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Bezirksliga Herren (Senioren Oberfranken),Statistikdaten (Saison: 2003/2004) - Bezirksliga Herren (Senioren Oberfranken),Team Statistiken,Beste Werfer/innen,245,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,245,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,245,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,245,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Bezirkspokal Herren (Senioren Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Bezirkspokal Herren (Senioren Oberfranken),Statistikdaten (Saison: 2003/2004) - Bezirkspokal Herren (Senioren Oberfranken),Team Statistiken,Beste Werfer/innen,256,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,256,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,256,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,256,Bezirksliga,2003,Oberfranken
1.,Schneider,Eva,TS Kronach,140,248,Bezirksliga,2003,Oberfranken
2.,Madinger,Astrid,TS Kronach,125,248,Bezirksliga,2003,Oberfranken
3.,Keller,Andrea,BBC Coburg,111,248,Bezirksliga,2003,Oberfranken
